date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:35	13533/13533	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Nov%202019%2008:40:14%20GMT	https://www.swarnatara.com/images/icons/collabIcon.png	E:/html%20websites/swarnatara/www.swarnatara.com/images/icons/collabIcon.png	(from https://www.swarnatara.com/)
09:30:36	8057/8057	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Nov%202019%2008:39:32%20GMT	https://www.swarnatara.com/images/icons/TOURRR.png	E:/html%20websites/swarnatara/www.swarnatara.com/images/icons/TOURRR.png	(from https://www.swarnatara.com/)
09:30:36	10780/10780	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Nov%202019%2008:39:32%20GMT	https://www.swarnatara.com/images/icons/swarntaraTravel.png	E:/html%20websites/swarnatara/www.swarnatara.com/images/icons/swarntaraTravel.png	(from https://www.swarnatara.com/)
09:30:36	3824/3824	---M--	200	added ('OK')	image/png	date:Thu,%2004%20May%202017%2010:14:17%20GMT	https://www.swarnatara.com/images/spirituals.png	E:/html%20websites/swarnatara/www.swarnatara.com/images/spirituals.png	(from https://www.swarnatara.com/)
09:30:36	9823/9823	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Nov%202019%2008:39:34%20GMT	https://www.swarnatara.com/images/icons/spiritualsIcon.png	E:/html%20websites/swarnatara/www.swarnatara.com/images/icons/spiritualsIcon.png	(from https://www.swarnatara.com/)
09:30:37	284394/284394	---M--	200	added ('OK')	application/javascript	date:Fri,%2005%20May%202017%2013:44:40%20GMT	https://www.swarnatara.com/js/jquery-1.11.3.js	E:/html%20websites/swarnatara/www.swarnatara.com/js/jquery-1.11.3.js	(from https://www.swarnatara.com/)
09:30:38	36868/36868	---M--	200	added ('OK')	application/javascript	date:Fri,%2005%20May%202017%2013:44:37%20GMT	https://www.swarnatara.com/js/bootstrap.min.js	E:/html%20websites/swarnatara/www.swarnatara.com/js/bootstrap.min.js	(from https://www.swarnatara.com/)
09:30:38	22100/22100	---M--	200	added ('OK')	image/png	date:Thu,%2004%20May%202017%2010:14:38%20GMT	https://www.swarnatara.com/images/icons/groupICon.png	E:/html%20websites/swarnatara/www.swarnatara.com/images/icons/groupICon.png	(from https://www.swarnatara.com/)
09:30:38	8057/8057	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Nov%202019%2009:05:40%20GMT	https://www.swarnatara.com/images/icons/toursIcon.png	E:/html%20websites/swarnatara/www.swarnatara.com/images/icons/toursIcon.png	(from https://www.swarnatara.com/)
09:30:39	2312/2312	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202016%2003:14:42%20GMT	https://www.swarnatara.com/images/petalFlower.png	E:/html%20websites/swarnatara/www.swarnatara.com/images/petalFlower.png	(from https://www.swarnatara.com/css/landing-style.css)
09:30:39	121185/121185	---M--	200	added ('OK')	text/css	date:Fri,%2005%20May%202017%2013:45:21%20GMT	https://www.swarnatara.com/css/bootstrap/bootstrap.min.css	E:/html%20websites/swarnatara/www.swarnatara.com/css/bootstrap/bootstrap.min.css	(from https://www.swarnatara.com/)
09:30:39	1392/1392	---M--	200	added ('OK')	text/css	date:Fri,%2005%20May%202017%2013:44:45%20GMT	https://www.swarnatara.com/css/all-stylesheets.css	E:/html%20websites/swarnatara/www.swarnatara.com/css/all-stylesheets.css	(from https://www.swarnatara.com/home.html)
09:30:39	38898/38898	---M--	200	added ('OK')	text/css	date:Sat,%2030%20Nov%202019%2008:43:46%20GMT	https://www.swarnatara.com/css/custom.css	E:/html%20websites/swarnatara/www.swarnatara.com/css/custom.css	(from https://www.swarnatara.com/home.html)
09:30:39	26623/26623	---M--	200	added ('OK')	text/html	date:Sat,%2024%20Oct%202020%2014:53:18%20GMT	https://www.swarnatara.com/worldwide.html	E:/html%20websites/swarnatara/www.swarnatara.com/worldwide.html	(from https://www.swarnatara.com/home.html)
09:30:40	26844/26844	---M--	200	added ('OK')	text/html	date:Sat,%2024%20Oct%202020%2014:53:17%20GMT	https://www.swarnatara.com/downloads.html	E:/html%20websites/swarnatara/www.swarnatara.com/downloads.html	(from https://www.swarnatara.com/home.html)
09:30:40	30872/30872	---M--	200	added ('OK')	text/html	date:Sat,%2024%20Oct%202020%2014:53:17%20GMT	https://www.swarnatara.com/corporate-governance.html	E:/html%20websites/swarnatara/www.swarnatara.com/corporate-governance.html	(from https://www.swarnatara.com/home.html)
09:30:40	28006/28006	---M--	200	added ('OK')	text/html	date:Sat,%2024%20Oct%202020%2014:53:17%20GMT	https://www.swarnatara.com/excellence.html	E:/html%20websites/swarnatara/www.swarnatara.com/excellence.html	(from https://www.swarnatara.com/home.html)
09:30:40	30726/30726	---M--	200	added ('OK')	text/html	date:Sat,%2024%20Oct%202020%2014:53:18%20GMT	https://www.swarnatara.com/management.html	E:/html%20websites/swarnatara/www.swarnatara.com/management.html	(from https://www.swarnatara.com/home.html)
09:30:41	40534/40534	---M--	200	added ('OK')	text/html	date:Sat,%2024%20Oct%202020%2014:53:18%20GMT	https://www.swarnatara.com/ourBusiness.html	E:/html%20websites/swarnatara/www.swarnatara.com/ourBusiness.html	(from https://www.swarnatara.com/home.html)
09:30:41	11792/11792	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202016%2003:14:17%20GMT	https://www.swarnatara.com/images/consultancy.jpg	E:/html%20websites/swarnatara/www.swarnatara.com/images/consultancy.jpg	(from https://www.swarnatara.com/home.html)
09:30:41	10547/10547	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202016%2003:14:21%20GMT	https://www.swarnatara.com/images/finance.jpg	E:/html%20websites/swarnatara/www.swarnatara.com/images/finance.jpg	(from https://www.swarnatara.com/home.html)
09:30:41	10762/10762	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202016%2003:14:27%20GMT	https://www.swarnatara.com/images/jewlery.jpg	E:/html%20websites/swarnatara/www.swarnatara.com/images/jewlery.jpg	(from https://www.swarnatara.com/home.html)
